country_iso3,foreign_direct_investment_inflows,gdp_per_capita,continent,net_barter_of_trade,inflation_rate,population,langoff_1,gdp_growth,agriculture_forestry_fishing_of_gdp,industry_of_gdp,area,gdp_us_dollar,merchandise_of_gdp,landlocked
COL,14647048638.4496,7335.16693447605,America,183.9168246,3.41758959146978,45662747,Spanish,6.947891982,6.09169610822214,33.3021551703247,1141748,334943871932.0,33.1840673361087,0
COM,23118440.5401981,1447.9452695898,Africa,97.90297633,1.84266300756184,706578,Arabic,4.099846955,30.5642208431509,11.6973085985464,1862,1023086184.0,29.6162706984114,0
CRI,2733268839.98155,9229.83451670274,America,99.8176767,4.87814554580439,4633086,Spanish,4.30710166,5.59987212230861,22.5898706745828,51076,42262697840.0,62.2693413482054,0
CYP,40445860585.079,32396.3857437121,Europe,96.55800006,3.28944939564212,1124837,Greek,0.4014379411,2.1512815738882,12.7616461579395,9251,27565469098.0,38.0766239191744,0
CZE,4188736491.29368,21871.2660754128,Europe,102.7946126,1.91721913635547,10496088,Czech,1.760359624,1.98251099186352,33.6505738219241,78864,229562733399.0,137.245272930456,1
DEU,97535403952.55,46644.776027968,Europe,93.15072087,2.07517452479837,80274983,German,3.925192705,0.910022423855418,27.0689719182049,357325,3744408602684.0,72.8781041162014,0
DMA,14192972.5925926,7065.46037237599,America,106.6591703,1.13123136526474,70912,English,-0.2235506882,12.5010164329487,12.8381025599326,751,501025925.9,50.8955698307916,0
DNK,13558894634.3461,61753.647131977,Europe,100.0856174,2.75868226051246,5570572,Danish,1.336777767,1.31213398990708,20.2546986056117,43094,344003137611.0,60.3270660381327,0
DOM,2197500000.0,5913.42664885493,America,100.2990038,5.79671466946105,9813219,Spanish,3.133423005,5.63686024937601,28.3955428840411,48734,58029750744.0,44.6340018131851,0
DZA,2571237024.68517,5455.67902952706,Africa,262.5470485,4.52421150505276,36661438,Arabic,2.9,8.11059043573339,49.6247703075793,2381741,200254371997.0,60.3640647190591,0
ECU,646084358.687904,5200.55510783504,America,167.2646926,4.47453265795836,15243885,Spanish,7.868140919,9.60111666656407,37.6346398733428,275716,79276664000.0,58.983309388498,0
EGY,-482700000.0,2791.81076592794,Africa,148.8186622,10.0649259874818,84529251,Arabic,1.764571949,13.8691050980964,35.9517175990081,1001449,235989672978.0,37.8961498067245,0
ESP,26832032514.651,31636.4463142558,Europe,90.06163588,3.19614641224106,46742697,Spanish,-0.8143734552,2.37327299407857,22.0811402539851,505954,1478772824224.0,46.1975625200227,0
EST,1119148299.05952,17624.0445588254,Europe,96.53669807,4.9819013145361,1327439,Estonian,7.443936104,3.64664306166828,25.4901539015155,45227,23391530006.0,146.04927425752,0
