country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
MDA,7745231660.0,9.676240331,-0.3382353245,33700,0,Europe,Romanian,2834530.0,2732.457113,11.50526791,22.68975275,76.87310414,72.39673133,225565000.0
MDG,11323023787.0,7.404191742,3.132295888,587041,0,Africa,French,24234080.0,467.2355537,25.74334761,12.59330492,42.7712605,85.03812266,328059305.6
MDV,4109447297.0,0.9532066588,2.884548602,298,0,Asia,Maldivian,454914.0,9033.459724,5.564679082,10.68035774,51.97779277,100.7441326,297975993.4
MEX,1171867608198.0,2.72064065,3.293151528,1967210,0,America,Spanish,121858251.0,9616.645558,3.191923657,29.98530327,67.05808698,93.55396074,35737524436.0
MKD,10064515432.0,-0.2999204756,3.85586514,25713,1,Europe,Macedonian,2079335.0,4843.492387,9.726918494,23.92218322,108.8544853,96.77532886,296604200.4
MLI,13104802016.0,1.450690576,6.171800024,1240142,1,Africa,French,17438772.0,751.4728866,37.72325687,17.59796791,49.73000532,156.5409823,275414753.0
MLT,11091434435.0,1.100548264,9.608132348,316,0,Europe,English,445053.0,24921.60368,0.9228816373,12.29359572,77.9249971,138.2553308,3640705147.0
MMR,67822772707.0,9.454171895,6.99284029,678500,0,Asia,Burmese,52680724.0,1144.474341,26.73441801,33.91247241,46.96165919,100.1967444,4083839112.0
MNG,11749620620.0,5.726872247,2.379835807,1565500,1,Asia,Mongolian,2998433.0,3918.587015,13.35614513,31.04054776,72.06190118,149.1270021,94319767.47
MOZ,15950969019.0,3.550759674,6.72327878,801590,0,Africa,Portuguese,27042001.0,589.85905,22.9161876,18.0999504,73.64442866,89.67159162,3868353885.0
MRT,6166857629.0,3.237703083,5.376339237,1030700,0,Africa,Arabic,4046304.0,1524.071753,20.62954561,22.7465106,82.57041603,124.0857947,501726765.7
MUS,11692287066.0,1.286549708,3.55307173,2045,0,Africa,English,1262605.0,9260.447303,3.153993847,19.24209489,63.73432296,119.0235418,216455188.3
MWI,6373212641.0,21.86734755,2.799999999,118484,1,Africa,English,16745305.0,380.5969877,27.48122386,14.80716336,53.22276521,113.6412235,287746689.2
MYS,301354803994.0,2.104389802,5.091532422,329758,0,Asia,Malay,30270965.0,9955.242722,8.287499926,38.44966979,124.7443197,108.4782183,9857162112.0
NAM,11272143473.0,3.394015384,4.526767116,825518,0,Africa,English,2314901.0,4896.61526,6.650426799,27.5636536,103.7830935,126.6879805,838879062.7
NER,9685577941.0,-0.5760903698,4.392648832,1267000,1,Africa,French,20001663.0,484.2386326,32.40157961,22.54547366,31.62433898,171.2281366,529476871.1
NGA,486803295098.0,9.009387183,2.652693295,923768,0,Africa,English,181137454.0,2687.480056,20.63189348,20.1607829,19.49781379,138.4680128,3064168904.0
NGA,486803295098.0,9.009387183,2.652693295,923768,0,Africa,English,181137454.0,2687.480056,20.63189348,20.1607829,19.49781379,138.4680128,3064168904.0
