country_iso3,area,net_barter_of_trade,gdp_us_dollar,gdp_growth,langoff_1,landlocked,industry_of_gdp,population,gdp_per_capita,merchandise_of_gdp,agriculture_forestry_fishing_of_gdp,foreign_direct_investment_inflows,continent,inflation_rate
TUR,780576,97.34952524,858988610574.0,7.501997494,Turkish,0,29.13172126,81116451.0,10589.66772,46.9396687,6.038629796,11042000000.0,Europe,11.14431108
TZA,945090,163.8287448,53320625959.0,6.785680114,English,0,25.099525,54660345.0,1004.906588,23.2780463,28.74208607,940523072.2,Africa,5.318716052
UGA,241038,120.7586297,30756466548.0,3.809129029,English,1,26.03099481,41166588.0,746.8307512,27.63748713,23.45883538,802704141.0,Africa,5.640931922
UKR,603677,84.80406224,112190355158.0,2.466035625,Ukrainian,0,23.36948981,44831135.0,2640.675677,82.78251715,10.18636126,3918000000.0,Europe,14.43832275
URY,176215,120.0817841,59530088537.0,2.591338692,Spanish,0,17.83664815,3436645.0,18690.89384,25.44759541,5.345332148,2639886037.0,America,6.218093826
USA,9529106,99.594485,19519353692000.0,2.369800784,English,0,18.25140547,325122128.0,60109.65573,20.23616237,0.9498060724,366995000000.0,America,2.130110004
UZB,447400,159.0708187,59159945321.0,4.46152609,Uzbek,1,24.72392475,32388600.0,1826.566919,37.38002103,30.07365153,1797341436.0,Asia,13.9
VCT,389,112.4234265,792177777.8,1.000357879,English,0,15.0027117,109826.0,7213.025857,46.95915619,6.933535308,153111526.4,America,2.153336488
VNM,331114,136.9864737,223779865815.0,6.81224566,Vietnamese,0,33.39912804,94600643.0,2365.521615,191.229447,15.34488286,14100000000.0,Asia,3.520256888
WSM,2842,84.85303609,832153612.6,1.044879689,Samoan,0,16.86177408,195358.0,4259.634172,48.06804825,10.53309401,9215371.787,Pacific,1.749896775
YEM,547244,148.4791763,26736139802.0,-5.072010019,Arabic,0,42.21840895,27834811.0,960.528848,31.13388967,6.024135519,-269850000.0,Asia,30.4
ZAF,1219912,151.1375341,349554116684.0,1.414512626,English,0,26.29313911,57009751.0,6131.47945,54.50457909,2.361236373,2058579911.0,Africa,5.181082233
ZMB,752614,174.8716562,25868165345.0,3.504336096,English,1,37.30404492,16853608.0,1535.196574,61.81976695,4.024271194,1107519805.0,Africa,6.577311542
ZWE,390759,113.4594685,22040902300.0,4.704035391,English,1,19.79479782,14236599.0,1335.665064,44.93743172,7.713515567,247187738.8,Africa,0.8939623161
